stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,A+B+C+D+E,外資+投信
8103,10,7,6,8,6,5,7,8,8,7,3,2,3,9,9,9,8,9,1,3,10,10,瀚荃,"['連接器', '連接器:連接器設計、組裝及製造', '電腦及週邊設備', '電腦及週邊設備:連接線']",30,20
3583,10,1,10,10,9,7,10,10,10,1,7,4,6,6,6,8,10,8,3,10,1,6,辛耘,"['LED照明產業', 'LED照明產業:生產製程、檢測設備及原物料', '半導體', '半導體:生產製程及檢測設備', '太陽能產業', '太陽能產業:太陽能發電設備_系統及系統工程', '平面顯示器', '平面顯示器:生產製程及檢測設備']",38,7
6257,10,10,8,10,6,3,9,10,9,2,7,3,8,9,9,10,9,10,1,10,7,9,矽格,"['半導體', '半導體:IC封裝測試']",41,16
8473,8,10,7,7,1,2,8,7,7,10,10,9,10,9,9,10,8,1,6,5,1,5,山林水,"['其他', '其他:環保潔能服務產業']",32,6
3323,5,7,8,4,1,4,5,4,4,2,9,1,7,2,2,7,2,4,1,5,9,6,加百裕,"['能源元件', '能源元件:電池模組', '電腦及週邊設備', '電腦及週邊設備:電池']",28,15
6184,8,7,8,10,7,10,8,10,10,7,5,6,3,6,6,4,7,5,4,8,7,6,大豐電,"['文化創意業', '文化創意業:廣播電視_電影產業']",24,13
6179,8,10,5,8,4,6,8,7,9,5,3,5,3,5,5,3,5,8,6,2,10,6,亞通,"['建材營造', '建材營造:工程承攬']",21,16
2603,10,2,9,9,10,10,9,9,9,8,5,8,6,8,8,7,9,8,8,10,2,2,長榮,"['交通運輸及航運', '交通運輸及航運:貨櫃航運']",36,4
8996,10,10,10,10,2,8,9,10,10,5,2,7,3,9,9,5,9,5,3,9,2,1,高力,"['電機機械', '電機機械:油空壓元件']",17,3
3465,8,10,6,9,8,9,9,9,9,5,8,7,8,7,7,8,7,4,9,8,2,6,進泰電子,"['其他', '其他:其他電子產品及電子服務產業']",36,8
